field1,field2,field3,field4,field5,refkey1,refkey2
242,1242,1,2,500,A1,B1
243,1243,1,2,500,A1,B1
244,1244,1,2,500,A1,B1
245,1245,1,2,500,A1,B1
246,1246,1,2,500,A1,B1
247,1247,1,2,500,A1,B1
248,1248,1,2,500,A1,B1
249,1249,1,2,500,A1,B1
250,1250,1,2,500,A1,B1
251,1251,1,2,500,A1,B1
252,1252,1,2,500,A1,B1
253,1253,1,2,500,A1,B1
254,1254,1,2,500,A1,B1
255,1255,1,2,500,A1,B1
256,1256,1,2,500,A1,B1
257,1257,1,2,500,A1,B1
258,1258,1,2,500,A1,B1
259,1259,1,2,500,A1,B1
260,1260,1,2,500,A1,B1
261,1261,1,2,500,A1,B1
262,1262,1,2,500,A1,B1
263,1263,1,2,500,A1,B1
264,1264,1,2,500,A1,B1
265,1265,1,2,500,A1,B1
266,1266,1,2,500,A1,B1
267,1267,1,2,500,A1,B1
268,1268,1,2,500,A1,B1
269,1269,1,2,500,A1,B1
270,1270,1,2,500,A1,B1
271,1271,1,2,500,A1,B1
272,1272,1,2,500,A1,B1
273,1273,1,2,500,A1,B1
274,1274,1,2,500,A1,B1
275,1275,1,2,500,A1,B1
276,1276,1,2,500,A1,B1
277,1277,1,2,500,A1,B1
278,1278,1,2,500,A1,B1
279,1279,1,2,500,A1,B1
280,1280,1,2,500,A1,B1
281,1281,1,2,500,A1,B1
282,1282,1,2,500,A1,B1
283,1283,1,2,500,A1,B1
284,1284,1,2,500,A1,B1
285,1285,1,2,500,A1,B1
286,1286,1,2,500,A1,B1
287,1287,1,2,500,A1,B1
288,1288,1,2,500,A1,B1
289,1289,1,2,500,A1,B1
290,1290,1,2,500,A1,B1
291,1291,1,2,500,A1,B1
292,1292,1,2,500,A1,B1
293,1293,1,2,500,A1,B1
294,1294,1,2,500,A1,B1
295,1295,1,2,500,A1,B1
296,1296,1,2,500,A1,B1
297,1297,1,2,500,A1,B1
298,1298,1,2,500,A1,B1
299,1299,1,2,500,A1,B1
300,1300,1,2,500,A1,B1
301,1301,1,2,500,A1,B1
302,1302,1,2,500,A1,B1
303,1303,1,2,500,A1,B1
304,1304,1,2,500,A1,B1
305,1305,1,2,500,A1,B1
306,1306,1,2,500,A1,B1
307,1307,1,2,500,A1,B1
308,1308,1,2,500,A1,B1
309,1309,1,2,500,A1,B1
310,1310,1,2,500,A1,B1
311,1311,1,2,500,A1,B1
312,1312,1,2,500,A1,B1
313,1313,1,2,500,A1,B1
314,1314,1,2,500,A1,B1
315,1315,1,2,500,A1,B1
316,1316,1,2,500,A1,B1
317,1317,1,2,500,A1,B1
318,1318,1,2,500,A1,B1
319,1319,1,2,500,A1,B1
320,1320,1,2,500,A1,B1
321,1321,1,2,500,A1,B1
322,1322,1,2,500,A1,B1
323,1323,1,2,500,A1,B1
324,1324,1,2,500,A1,B1
325,1325,1,2,500,A1,B1
326,1326,1,2,500,A1,B1
327,1327,1,2,500,A1,B1
328,1328,1,2,500,A1,B1
329,1329,1,2,500,A1,B1
330,1330,1,2,500,A1,B1
331,1331,1,2,500,A1,B1
332,1332,1,2,500,A1,B1
333,1333,1,2,500,A1,B1
334,1334,1,2,500,A1,B1
335,1335,1,2,500,A1,B1
336,1336,1,2,500,A1,B1
337,1337,1,2,500,A1,B1
338,1338,1,2,500,A1,B1
339,1339,1,2,500,A1,B1
340,1340,1,2,500,A1,B1
341,1341,1,2,500,A1,B1
342,1342,1,2,500,A1,B1
343,1343,1,2,500,A1,B1
344,1344,1,2,500,A1,B1
345,1345,1,2,500,A1,B1
346,1346,1,2,500,A1,B1
347,1347,1,2,500,A1,B1
348,1348,1,2,500,A1,B1
349,1349,1,2,500,A1,B1
350,1350,1,2,500,A1,B1
351,1351,1,2,500,A1,B1
352,1352,1,2,500,A1,B1
353,1353,1,2,500,A1,B1
354,1354,1,2,500,A1,B1
355,1355,1,2,500,A1,B1
356,1356,1,2,500,A1,B1
357,1357,1,2,500,A1,B1
358,1358,1,2,500,A1,B1
359,1359,1,2,500,A1,B1
360,1360,1,2,500,A1,B1
361,1361,1,2,500,A1,B1
362,1362,1,2,500,A1,B1
363,1363,1,2,500,A1,B1
364,1364,1,2,500,A1,B1
365,1365,1,2,500,A1,B1
366,1366,1,2,500,A1,B1
367,1367,1,2,500,A1,B1
368,1368,1,2,500,A1,B1
369,1369,1,2,500,A1,B1
370,1370,1,2,500,A1,B1
371,1371,1,2,500,A1,B1
372,1372,1,2,500,A1,B1
373,1373,1,2,500,A1,B1
374,1374,1,2,500,A1,B1
375,1375,1,2,500,A1,B1
376,1376,1,2,500,A1,B1
377,1377,1,2,500,A1,B1
378,1378,1,2,500,A1,B1
379,1379,1,2,500,A1,B1
380,1380,1,2,500,A1,B1
381,1381,1,2,500,A1,B1
382,1382,1,2,500,A1,B1
383,1383,1,2,500,A1,B1
384,1384,1,2,500,A1,B1
385,1385,1,2,500,A1,B1
386,1386,1,2,500,A1,B1
387,1387,1,2,500,A1,B1
388,1388,1,2,500,A1,B1
389,1389,1,2,500,A1,B1
390,1390,1,2,500,A1,B1
391,1391,1,2,500,A1,B1
392,1392,1,2,500,A1,B1
393,1393,1,2,500,A1,B1
394,1394,1,2,500,A1,B1
395,1395,1,2,500,A1,B1
396,1396,1,2,500,A1,B1
397,1397,1,2,500,A1,B1
398,1398,1,2,500,A1,B1
399,1399,1,2,500,A1,B1
400,1400,1,2,500,A1,B1
401,1401,1,2,500,A1,B1
402,1402,1,2,500,A1,B1
403,1403,1,2,500,A1,B1
404,1404,1,2,500,A1,B1
405,1405,1,2,500,A1,B1
406,1406,1,2,500,A1,B1
407,1407,1,2,500,A1,B1
408,1408,1,2,500,A1,B1
409,1409,1,2,500,A1,B1
410,1410,1,2,500,A1,B1
411,1411,1,2,500,A1,B1
412,1412,1,2,500,A1,B1
413,1413,1,2,500,A1,B1
414,1414,1,2,500,A1,B1
415,1415,1,2,500,A1,B1
416,1416,1,2,500,A1,B1
417,1417,1,2,500,A1,B1
418,1418,1,2,500,A1,B1
419,1419,1,2,500,A1,B1
420,1420,1,2,500,A1,B1
421,1421,1,2,500,A1,B1
422,1422,1,2,500,A1,B1
423,1423,1,2,500,A1,B1
424,1424,1,2,500,A1,B1
425,1425,1,2,500,A1,B1
426,1426,1,2,500,A1,B1
427,1427,1,2,500,A1,B1
428,1428,1,2,500,A1,B1
429,1429,1,2,500,A1,B1
430,1430,1,2,500,A1,B1
431,1431,1,2,500,A1,B1
432,1432,1,2,500,A1,B1
433,1433,1,2,500,A1,B1
434,1434,1,2,500,A1,B1
435,1435,1,2,500,A1,B1
436,1436,1,2,500,A1,B1
437,1437,1,2,500,A1,B1
438,1438,1,2,500,A1,B1
439,1439,1,2,500,A1,B1
440,1440,1,2,500,A1,B1
441,1441,1,2,500,A1,B1
442,1442,1,2,500,A1,B1
443,1443,1,2,500,A1,B1
444,1444,1,2,500,A1,B1
445,1445,1,2,500,A1,B1
446,1446,1,2,500,A1,B1
447,1447,1,2,500,A1,B1
448,1448,1,2,500,A1,B1
449,1449,1,2,500,A1,B1
450,1450,1,2,500,A1,B1
451,1451,1,2,500,A1,B1
452,1452,1,2,500,A1,B1
453,1453,1,2,500,A1,B1
454,1454,1,2,500,A1,B1
455,1455,1,2,500,A1,B1
456,1456,1,2,500,A1,B1
457,1457,1,2,500,A1,B1
458,1458,1,2,500,A1,B1
459,1459,1,2,500,A1,B1
460,1460,1,2,500,A1,B1
461,1461,1,2,500,A1,B1
462,1462,1,2,500,A1,B1
463,1463,1,2,500,A1,B1
464,1464,1,2,500,A1,B1
465,1465,1,2,500,A1,B1
466,1466,1,2,500,A1,B1
467,1467,1,2,500,A1,B1
468,1468,1,2,500,A1,B1
469,1469,1,2,500,A1,B1
470,1470,1,2,500,A1,B1
471,1471,1,2,500,A1,B1
472,1472,1,2,500,A1,B1
473,1473,1,2,500,A1,B1
474,1474,1,2,500,A1,B1
475,1475,1,2,500,A1,B1
476,1476,1,2,500,A1,B1
477,1477,1,2,500,A1,B1
478,1478,1,2,500,A1,B1
479,1479,1,2,500,A1,B1
480,1480,1,2,500,A1,B1
481,1481,1,2,500,A1,B1
482,1482,1,2,500,A1,B1
483,1483,1,2,500,A1,B1
484,1484,1,2,500,A1,B1
485,1485,1,2,500,A1,B1
486,1486,1,2,500,A1,B1
487,1487,1,2,500,A1,B1
488,1488,1,2,500,A1,B1
489,1489,1,2,500,A1,B1
490,1490,1,2,500,A1,B1
491,1491,1,2,500,A1,B1
492,1492,1,2,500,A1,B1
493,1493,1,2,500,A1,B1
494,1494,1,2,500,A1,B1
495,1495,1,2,500,A1,B1
496,1496,1,2,500,A1,B1
497,1497,1,2,500,A1,B1
498,1498,1,2,500,A1,B1
499,1499,1,2,500,A1,B1
500,1500,1,2,500,A1,B1
501,1501,1,2,500,A1,B1
502,1502,1,2,500,A1,B1
503,1503,1,2,500,A1,B1
504,1504,1,2,500,A1,B1
505,1505,1,2,500,A1,B1
506,1506,1,2,500,A1,B1
507,1507,1,2,500,A1,B1
508,1508,1,2,500,A1,B1
509,1509,1,2,500,A1,B1
510,1510,1,2,500,A1,B1
511,1511,1,2,500,A1,B1
512,1512,1,2,500,A1,B1
513,1513,1,2,500,A1,B1
514,1514,1,2,500,A1,B1
515,1515,1,2,500,A1,B1
516,1516,1,2,500,A1,B1
517,1517,1,2,500,A1,B1
518,1518,1,2,500,A1,B1
519,1519,1,2,500,A1,B1
520,1520,1,2,500,A1,B1
521,1521,1,2,500,A1,B1
522,1522,1,2,500,A1,B1
523,1523,1,2,500,A1,B1
524,1524,1,2,500,A1,B1
525,1525,1,2,500,A1,B1
526,1526,1,2,500,A1,B1
527,1527,1,2,500,A1,B1
528,1528,1,2,500,A1,B1
529,1529,1,2,500,A1,B1
530,1530,1,2,500,A1,B1
531,1531,1,2,500,A1,B1
532,1532,1,2,500,A1,B1
533,1533,1,2,500,A1,B1
534,1534,1,2,500,A1,B1
535,1535,1,2,500,A1,B1
536,1536,1,2,500,A1,B1
537,1537,1,2,500,A1,B1
538,1538,1,2,500,A1,B1
539,1539,1,2,500,A1,B1
540,1540,1,2,500,A1,B1
541,1541,1,2,500,A1,B1
542,1542,1,2,500,A1,B1
543,1543,1,2,500,A1,B1
544,1544,1,2,500,A1,B1
545,1545,1,2,500,A1,B1
546,1546,1,2,500,A1,B1
547,1547,1,2,500,A1,B1
548,1548,1,2,500,A1,B1
549,1549,1,2,500,A1,B1
550,1550,1,2,500,A1,B1
551,1551,1,2,500,A1,B1
552,1552,1,2,500,A1,B1
553,1553,1,2,500,A1,B1
554,1554,1,2,500,A1,B1
555,1555,1,2,500,A1,B1
556,1556,1,2,500,A1,B1
557,1557,1,2,500,A1,B1
558,1558,1,2,500,A1,B1
559,1559,1,2,500,A1,B1
560,1560,1,2,500,A1,B1
561,1561,1,2,500,A1,B1
562,1562,1,2,500,A1,B1
563,1563,1,2,500,A1,B1
564,1564,1,2,500,A1,B1
565,1565,1,2,500,A1,B1
566,1566,1,2,500,A1,B1
567,1567,1,2,500,A1,B1
568,1568,1,2,500,A1,B1
569,1569,1,2,500,A1,B1
570,1570,1,2,500,A1,B1
571,1571,1,2,500,A1,B1
572,1572,1,2,500,A1,B1
573,1573,1,2,500,A1,B1
574,1574,1,2,500,A1,B1
575,1575,1,2,500,A1,B1
576,1576,1,2,500,A1,B1
577,1577,1,2,500,A1,B1
578,1578,1,2,500,A1,B1
579,1579,1,2,500,A1,B1
580,1580,1,2,500,A1,B1
581,1581,1,2,500,A1,B1
582,1582,1,2,500,A1,B1
583,1583,1,2,500,A1,B1
584,1584,1,2,500,A1,B1
585,1585,1,2,500,A1,B1
586,1586,1,2,500,A1,B1
587,1587,1,2,500,A1,B1
588,1588,1,2,500,A1,B1
589,1589,1,2,500,A1,B1
590,1590,1,2,500,A1,B1
591,1591,1,2,500,A1,B1
592,1592,1,2,500,A1,B1
593,1593,1,2,500,A1,B1
594,1594,1,2,500,A1,B1
595,1595,1,2,500,A1,B1
596,1596,1,2,500,A1,B1
597,1597,1,2,500,A1,B1
598,1598,1,2,500,A1,B1
599,1599,1,2,500,A1,B1
600,1600,1,2,500,A1,B1
601,1601,1,2,500,A1,B1
602,1602,1,2,500,A1,B1
603,1603,1,2,500,A1,B1
604,1604,1,2,500,A1,B1
605,1605,1,2,500,A1,B1
606,1606,1,2,500,A1,B1
607,1607,1,2,500,A1,B1
608,1608,1,2,500,A1,B1
609,1609,1,2,500,A1,B1
610,1610,1,2,500,A1,B1
611,1611,1,2,500,A1,B1
612,1612,1,2,500,A1,B1
613,1613,1,2,500,A1,B1
614,1614,1,2,500,A1,B1
615,1615,1,2,500,A1,B1
616,1616,1,2,500,A1,B1
617,1617,1,2,500,A1,B1
618,1618,1,2,500,A1,B1
619,1619,1,2,500,A1,B1
620,1620,1,2,500,A1,B1
621,1621,1,2,500,A1,B1
622,1622,1,2,500,A1,B1
623,1623,1,2,500,A1,B1
624,1624,1,2,500,A1,B1
625,1625,1,2,500,A1,B1
626,1626,1,2,500,A1,B1
627,1627,1,2,500,A1,B1
628,1628,1,2,500,A1,B1
629,1629,1,2,500,A1,B1
630,1630,1,2,500,A1,B1
631,1631,1,2,500,A1,B1
632,1632,1,2,500,A1,B1
633,1633,1,2,500,A1,B1
634,1634,1,2,500,A1,B1
635,1635,1,2,500,A1,B1
636,1636,1,2,500,A1,B1
637,1637,1,2,500,A1,B1
638,1638,1,2,500,A1,B1
639,1639,1,2,500,A1,B1
640,1640,1,2,500,A1,B1
641,1641,1,2,500,A1,B1
642,1642,1,2,500,A1,B1
643,1643,1,2,500,A1,B1
644,1644,1,2,500,A1,B1
645,1645,1,2,500,A1,B1
646,1646,1,2,500,A1,B1
647,1647,1,2,500,A1,B1
648,1648,1,2,500,A1,B1
649,1649,1,2,500,A1,B1
650,1650,1,2,500,A1,B1
651,1651,1,2,500,A1,B1
652,1652,1,2,500,A1,B1
653,1653,1,2,500,A1,B1
654,1654,1,2,500,A1,B1
655,1655,1,2,500,A1,B1
656,1656,1,2,500,A1,B1
657,1657,1,2,500,A1,B1
658,1658,1,2,500,A1,B1
659,1659,1,2,500,A1,B1
660,1660,1,2,500,A1,B1
661,1661,1,2,500,A1,B1
662,1662,1,2,500,A1,B1
663,1663,1,2,500,A1,B1
664,1664,1,2,500,A1,B1
665,1665,1,2,500,A1,B1
666,1666,1,2,500,A1,B1
667,1667,1,2,500,A1,B1
668,1668,1,2,500,A1,B1
669,1669,1,2,500,A1,B1
670,1670,1,2,500,A1,B1
671,1671,1,2,500,A1,B1
672,1672,1,2,500,A1,B1
673,1673,1,2,500,A1,B1
674,1674,1,2,500,A1,B1
675,1675,1,2,500,A1,B1
676,1676,1,2,500,A1,B1
677,1677,1,2,500,A1,B1
678,1678,1,2,500,A1,B1
679,1679,1,2,500,A1,B1
680,1680,1,2,500,A1,B1
681,1681,1,2,500,A1,B1
682,1682,1,2,500,A1,B1
683,1683,1,2,500,A1,B1
684,1684,1,2,500,A1,B1
685,1685,1,2,500,A1,B1
686,1686,1,2,500,A1,B1
687,1687,1,2,500,A1,B1
688,1688,1,2,500,A1,B1
689,1689,1,2,500,A1,B1
690,1690,1,2,500,A1,B1
691,1691,1,2,500,A1,B1
692,1692,1,2,500,A1,B1
693,1693,1,2,500,A1,B1
694,1694,1,2,500,A1,B1
695,1695,1,2,500,A1,B1
696,1696,1,2,500,A1,B1
697,1697,1,2,500,A1,B1
698,1698,1,2,500,A1,B1
699,1699,1,2,500,A1,B1
700,1700,1,2,500,A1,B1
701,1701,1,2,500,A1,B1
702,1702,1,2,500,A1,B1
703,1703,1,2,500,A1,B1
704,1704,1,2,500,A1,B1
705,1705,1,2,500,A1,B1
706,1706,1,2,500,A1,B1
707,1707,1,2,500,A1,B1
708,1708,1,2,500,A1,B1
709,1709,1,2,500,A1,B1
710,1710,1,2,500,A1,B1
711,1711,1,2,500,A1,B1
712,1712,1,2,500,A1,B1
713,1713,1,2,500,A1,B1
714,1714,1,2,500,A1,B1
715,1715,1,2,500,A1,B1
716,1716,1,2,500,A1,B1
717,1717,1,2,500,A1,B1
718,1718,1,2,500,A1,B1
719,1719,1,2,500,A1,B1
720,1720,1,2,500,A1,B1
721,1721,1,2,500,A1,B1
722,1722,1,2,500,A1,B1
723,1723,1,2,500,A1,B1
724,1724,1,2,500,A1,B1
725,1725,1,2,500,A1,B1
726,1726,1,2,500,A1,B1
727,1727,1,2,500,A1,B1
728,1728,1,2,500,A1,B1
729,1729,1,2,500,A1,B1
730,1730,1,2,500,A1,B1
731,1731,1,2,500,A1,B1
732,1732,1,2,500,A1,B1
733,1733,1,2,500,A1,B1
734,1734,1,2,500,A1,B1
735,1735,1,2,500,A1,B1
736,1736,1,2,500,A1,B1
737,1737,1,2,500,A1,B1
738,1738,1,2,500,A1,B1
739,1739,1,2,500,A1,B1
740,1740,1,2,500,A1,B1
741,1741,1,2,500,A1,B1
742,1742,1,2,500,A1,B1
743,1743,1,2,500,A1,B1
744,1744,1,2,500,A1,B1
745,1745,1,2,500,A1,B1
746,1746,1,2,500,A1,B1
747,1747,1,2,500,A1,B1
748,1748,1,2,500,A1,B1
749,1749,1,2,500,A1,B1
750,1750,1,2,500,A1,B1
751,1751,1,2,500,A1,B1
752,1752,1,2,500,A1,B1
753,1753,1,2,500,A1,B1
754,1754,1,2,500,A1,B1
755,1755,1,2,500,A1,B1
756,1756,1,2,500,A1,B1
757,1757,1,2,500,A1,B1
758,1758,1,2,500,A1,B1
759,1759,1,2,500,A1,B1
760,1760,1,2,500,A1,B1
761,1761,1,2,500,A1,B1
762,1762,1,2,500,A1,B1
763,1763,1,2,500,A1,B1
764,1764,1,2,500,A1,B1
765,1765,1,2,500,A1,B1
766,1766,1,2,500,A1,B1
767,1767,1,2,500,A1,B1
768,1768,1,2,500,A1,B1
769,1769,1,2,500,A1,B1
770,1770,1,2,500,A1,B1
771,1771,1,2,500,A1,B1
772,1772,1,2,500,A1,B1
773,1773,1,2,500,A1,B1
774,1774,1,2,500,A1,B1
775,1775,1,2,500,A1,B1
776,1776,1,2,500,A1,B1
777,1777,1,2,500,A1,B1
778,1778,1,2,500,A1,B1
779,1779,1,2,500,A1,B1
780,1780,1,2,500,A1,B1
781,1781,1,2,500,A1,B1
782,1782,1,2,500,A1,B1
783,1783,1,2,500,A1,B1
784,1784,1,2,500,A1,B1
785,1785,1,2,500,A1,B1
786,1786,1,2,500,A1,B1
787,1787,1,2,500,A1,B1
788,1788,1,2,500,A1,B1
789,1789,1,2,500,A1,B1
790,1790,1,2,500,A1,B1
791,1791,1,2,500,A1,B1
792,1792,1,2,500,A1,B1
793,1793,1,2,500,A1,B1
794,1794,1,2,500,A1,B1
795,1795,1,2,500,A1,B1
796,1796,1,2,500,A1,B1
797,1797,1,2,500,A1,B1
798,1798,1,2,500,A1,B1
799,1799,1,2,500,A1,B1
800,1800,1,2,500,A1,B1
801,1801,1,2,500,A1,B1
802,1802,1,2,500,A1,B1
803,1803,1,2,500,A1,B1
804,1804,1,2,500,A1,B1
805,1805,1,2,500,A1,B1
806,1806,1,2,500,A1,B1
807,1807,1,2,500,A1,B1
808,1808,1,2,500,A1,B1
809,1809,1,2,500,A1,B1
810,1810,1,2,500,A1,B1
811,1811,1,2,500,A1,B1
812,1812,1,2,500,A1,B1
813,1813,1,2,500,A1,B1
814,1814,1,2,500,A1,B1
815,1815,1,2,500,A1,B1
816,1816,1,2,500,A1,B1
817,1817,1,2,500,A1,B1
818,1818,1,2,500,A1,B1
819,1819,1,2,500,A1,B1
